optimizer,regime,protocol,eta,step,loss,delta,cosine_to_initial
gd,decoupled,frozen,194149.19457438815,167,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,168,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,169,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,170,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,171,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,172,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,173,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,174,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,175,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,176,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,177,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,178,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,179,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,180,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,181,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,182,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,183,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,184,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,185,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,186,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,187,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,188,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,189,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,190,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,191,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,192,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,193,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,194,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,195,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,196,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,197,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,198,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,199,-0.0,0.0,1.0
gd,decoupled,frozen,194149.19457438815,200,-0.0,0.0,1.0
gd,coupled,iterative,194149.19457438815,0,6.906754778648555,0.0,0.9999999999780862
gd,coupled,iterative,194149.19457438815,1,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,2,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,3,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,4,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,5,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,6,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,7,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,8,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,9,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,10,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,11,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,12,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,13,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,14,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,15,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,16,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,17,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,18,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,19,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,20,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,21,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,22,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,23,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,24,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,25,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,26,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,27,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,28,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,29,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,30,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,31,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,32,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,33,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,34,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,35,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,36,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,37,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,38,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,39,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,40,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,41,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,42,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,43,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,44,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,45,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,46,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,47,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,48,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,49,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,50,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,51,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,52,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,53,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,54,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,55,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,56,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,57,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,58,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,59,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,60,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,61,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,62,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,63,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,64,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,65,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,66,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,67,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,68,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,69,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,70,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,71,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,72,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,73,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,74,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,75,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,76,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,77,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,78,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,79,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,80,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,81,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,82,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,83,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,84,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,85,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,86,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,87,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,88,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,89,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,90,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,91,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,92,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,93,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,94,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,95,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,96,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,97,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,98,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,99,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,100,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,101,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,102,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,103,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,104,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,105,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,106,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,107,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,108,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,109,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,110,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,111,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,112,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,113,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,114,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,115,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,116,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,117,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,118,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,119,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,120,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,121,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,122,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,123,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,124,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,125,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,126,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,127,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,128,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,129,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,130,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,131,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,132,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,133,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,134,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,135,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,136,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,137,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,138,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,139,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,140,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,141,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,142,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,143,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,144,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,145,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,146,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,147,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,148,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,149,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,150,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,151,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,152,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,153,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,154,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,155,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,156,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,157,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,158,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,159,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,160,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,161,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,162,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,163,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,164,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,165,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,166,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,167,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,168,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,169,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,170,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,171,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,172,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,173,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,174,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,175,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,176,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,177,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,178,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,179,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,180,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,181,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,182,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,183,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,184,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,185,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,186,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,187,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,188,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,189,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,190,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,191,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,192,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,193,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,194,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,195,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,196,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,197,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,198,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,199,-0.0,0.0,0.003926702512449706
gd,coupled,iterative,194149.19457438815,200,-0.0,0.0,0.003926702512449706
gd,coupled,frozen,194149.19457438815,0,6.906754778648555,0.0,1.0
gd,coupled,frozen,194149.19457438815,1,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,2,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,3,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,4,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,5,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,6,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,7,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,8,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,9,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,10,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,11,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,12,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,13,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,14,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,15,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,16,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,17,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,18,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,19,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,20,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,21,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,22,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,23,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,24,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,25,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,26,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,27,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,28,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,29,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,30,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,31,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,32,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,33,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,34,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,35,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,36,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,37,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,38,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,39,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,40,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,41,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,42,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,43,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,44,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,45,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,46,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,47,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,48,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,49,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,50,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,51,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,52,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,53,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,54,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,55,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,56,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,57,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,58,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,59,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,60,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,61,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,62,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,63,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,64,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,65,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,66,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,67,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,68,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,69,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,70,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,71,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,72,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,73,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,74,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,75,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,76,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,77,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,78,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,79,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,80,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,81,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,82,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,83,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,84,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,85,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,86,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,87,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,88,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,89,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,90,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,91,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,92,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,93,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,94,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,95,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,96,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,97,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,98,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,99,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,100,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,101,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,102,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,103,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,104,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,105,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,106,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,107,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,108,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,109,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,110,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,111,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,112,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,113,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,114,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,115,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,116,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,117,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,118,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,119,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,120,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,121,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,122,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,123,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,124,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,125,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,126,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,127,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,128,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,129,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,130,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,131,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,132,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,133,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,134,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,135,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,136,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,137,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,138,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,139,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,140,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,141,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,142,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,143,-0.0,0.0,1.0
gd,coupled,frozen,194149.19457438815,144,-0.0,0.0,1.0
